Packet Number,Time,Battery Voltage,Altitude,Temperature,Humidity,Lux,State,alt_th
536,3932,3.363636,65504,19,43,824,3,234
537,3934,3.471605,65504,19,43,825,3,234
538,3935,3.384400,65504,19,43,823,3,234
539,3936,3.479910,65504,19,43,822,3,234
540,3937,3.442536,65504,19,43,825,3,234
541,3938,3.479910,65503,19,43,823,3,234
542,3939,3.425926,65503,19,43,825,3,234
543,3940,3.479910,65503,19,43,828,3,234
544,3941,3.467452,65503,19,43,829,3,234
545,3943,3.430079,65503,19,43,825,3,234
546,3944,3.421773,65503,19,43,832,3,234
547,3945,3.367789,65504,19,43,825,3,234
548,3946,3.363636,65504,19,43,823,3,234
549,3947,3.363636,65504,19,43,834,3,234
550,3948,3.479910,65504,19,43,832,3,234
551,3950,3.467452,65504,19,43,825,3,234
552,3951,3.355331,65503,19,43,820,3,234
553,3952,3.442536,65504,19,43,825,3,234
554,3953,3.342873,65504,19,43,801,3,234
555,3954,3.430079,65503,19,43,819,3,234
556,3955,3.384400,65504,19,43,823,3,234
557,3956,3.413468,65504,19,43,819,3,234
558,3957,3.347026,65504,19,43,832,3,234
559,3959,3.392705,65504,19,43,813,3,234
560,3960,3.430079,65503,19,43,798,3,234
561,3961,3.417621,65503,19,43,801,3,234
562,3962,3.467452,65504,19,43,824,3,234
563,3963,3.380247,65504,19,43,831,3,234
564,3964,3.401010,65505,19,43,821,3,234
565,3965,3.421773,65504,19,43,826,3,234
566,3966,3.359484,65504,19,43,829,3,234
567,3968,3.355331,65504,19,43,830,3,234
568,3969,3.454994,65505,19,43,799,3,234
569,3971,3.396857,65505,19,43,816,3,234
570,3972,3.463300,65504,19,43,817,3,234
571,3973,3.388552,65504,19,43,818,3,234
572,3975,3.371942,65503,19,43,808,3,234
573,3977,3.330415,65503,19,43,817,3,234
574,3978,3.413468,65504,19,43,824,3,234
575,3981,3.454994,65502,19,43,802,3,234
576,3982,3.454994,65504,19,43,823,3,234
577,3984,3.363636,65503,19,43,826,3,234
578,3985,3.396857,65503,19,43,796,3,234
579,3986,3.330415,65503,19,43,823,3,234
580,3987,3.446689,65503,19,43,812,3,234
581,3988,3.413468,65504,19,43,817,3,234
582,3989,3.421773,65504,19,43,813,3,234
583,3990,3.446689,65503,19,43,814,3,234
584,3991,3.430079,65503,19,43,797,3,234
585,3993,3.405163,65503,19,43,790,3,234
586,3994,3.401010,65503,19,43,821,3,234
587,3995,3.317957,65503,19,43,799,3,234
588,3996,3.396857,65503,19,43,811,3,234
589,3997,3.388552,65503,19,43,794,3,234
590,3998,3.326263,65503,19,44,808,3,234
591,4000,3.322110,65503,19,44,818,3,234
592,4002,3.363636,65504,19,44,818,3,234
593,4003,3.338721,65503,19,44,802,3,234
594,4004,3.396857,65504,19,44,813,3,234
595,4005,3.384400,65503,19,44,815,3,234
596,4006,3.288889,65501,19,44,807,3,234
597,4007,3.409315,65502,19,44,805,3,234
598,4009,3.367789,65502,19,44,785,3,234
599,4010,3.392705,65502,19,44,809,3,234
